Name,Original Region,Variant,National Dex #,Type 1,Type 2,Ability 1,Ability 2,Hidden Ability,Egg Group 1,Egg Group 2,Weight (kg),HP,Atk,Def,Sp. Atk,Sp. Def,Speed
Diglett,Alola,,50,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,Field,,1,10,55,30,35,45,90
Dugtrio,Kanto,,51,Ground,,Sand Veil,Arena Trap,Sand Force,Field,,33.3,35,100,50,50,70,120
Dugtrio,Alola,,51,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,Field,,66.6,35,100,60,50,70,110
Meowth,Kanto,,52,Normal,,Pickup,Technician,Unnerve,Field,,4.2,40,45,35,40,40,90
Meowth,Alola,,52,Dark,,Pickup,Technician,Rattled,Field,,4.2,40,35,35,50,40,90
Meowth,Galar,,52,Steel,,Pickup,Tough Claws,Unnerve,Field,,7.5,50,65,55,40,40,40
Persian,Kanto,,53,Normal,,Limber,Technician,Unnerve,Field,,32,65,70,60,65,65,115
Persian,Alola,,53,Dark,,Fur Coat,Technician,Rattled,Field,,33,65,60,60,75,65,115
Psyduck,Kanto,,54,Water,,Damp,Cloud Nine,Swift Swim,Water 1,Field,19.6,50,52,48,65,50,55
Golduck,Kanto,,55,Water,,Damp,Cloud Nine,Swift Swim,Water 1,Field,76.6,80,82,78,95,80,85
Mankey,Kanto,,56,Fighting,,Vital Spirit,Anger Point,Defiant,Field,,28,40,80,35,35,45,70
Primeape,Kanto,,57,Fighting,,Vital Spirit,Anger Point,Defiant,Field,,32,65,105,60,60,70,95
Growlithe,Kanto,,58,Fire,,Intimidate,Flash Fire,Justified,Field,,19,55,70,45,70,50,60
Growlithe,Hisui,,58,Fire,Rock,Intimidate,Flash Fire,Rock Head,Field,,22.7,60,75,45,65,50,55
Arcanine,Kanto,,59,Fire,,Intimidate,Flash Fire,Justified,Field,,155,90,110,80,100,80,95
Arcanine,Hisui,,59,Fire,Rock,Intimidate,Flash Fire,Rock Head,Field,,168,95,115,80,95,80,90
Poliwag,Kanto,,60,Water,,Water Absorb,Damp,Swift Swim,Water 1,,12.4,40,50,40,40,40,90
Poliwhirl,Kanto,,61,Water,,Water Absorb,Damp,Swift Swim,Water 1,,20,65,65,65,50,50,90
Poliwrath,Kanto,,62,Water,Fighting,Water Absorb,Damp,Swift Swim,Water 1,,54,90,95,95,70,90,70
Abra,Kanto,,63,Psychic,,Synchronize,Inner Focus,Magic Guard,Human-Like,,19.5,25,20,15,105,55,90
Kadabra,Kanto,,64,Psychic,,Synchronize,Inner Focus,Magic Guard,Human-Like,,56.5,40,35,30,120,70,105
Alakazam,Kanto,,65,Psychic,,Synchronize,Inner Focus,Magic Guard,Human-Like,,48,55,50,45,135,95,120
Machop,Kanto,,66,Fighting,,Guts,No Guard,Steadfast,Human-Like,,19.5,70,80,50,35,35,35
Machoke,Kanto,,67,Fighting,,Guts,No Guard,Steadfast,Human-Like,,70.5,80,100,70,50,60,45
Machamp,Kanto,,68,Fighting,,Guts,No Guard,Steadfast,Human-Like,,130,90,130,80,65,85,55
Bellsprout,Kanto,,69,Grass,Poison,Chlorophyll,,Gluttony,Grass,,4,50,75,35,70,30,40
Weepinbell,Kanto,,70,Grass,Poison,Chlorophyll,,Gluttony,Grass,,6.4,65,90,50,85,45,55
Victreebel,Kanto,,71,Grass,Poison,Chlorophyll,,Gluttony,Grass,,15.5,80,105,65,100,70,70
Tentacool,Kanto,,72,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Water 3,,45.5,40,40,35,50,100,70
Tentacruel,Kanto,,73,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Water 3,,55,80,70,65,80,120,100
Geodude,Kanto,,74,Rock,Ground,Rock Head,Sturdy,Sand Veil,Mineral,,20,40,80,100,30,30,20
Geodude,Alola,,74,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Mineral,,20.3,40,80,100,30,30,20
Graveler,Kanto,,75,Rock,Ground,Rock Head,Sturdy,Sand Veil,Mineral,,105,55,95,115,45,45,35
Graveler,Alola,,75,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Mineral,,110,55,95,115,45,45,35
Golem,Kanto,,76,Rock,Ground,Rock Head,Sturdy,Sand Veil,Mineral,,300,80,120,130,55,65,45
Golem,Alola,,76,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Mineral,,316,80,120,130,55,65,45
Ponyta,Kanto,,77,Fire,,Run Away,Flash Fire,Flame Body,Field,,30,50,85,55,65,65,90
Ponyta,Galar,,77,Psychic,,Run Away,Pastel Veil,Anticipation,Field,,24,50,85,55,65,65,90
Rapidash,Kanto,,78,Fire,,Run Away,Flash Fire,Flame Body,Field,,95,65,100,70,80,80,105
Rapidash,Galar,,78,Psychic,Fairy,Run Away,Pastel Veil,Anticipation,Field,,80,65,100,70,80,80,105
Slowpoke,Kanto,,79,Water,Psychic,Oblivious,Own Tempo,Regenerator,Monster,Water 1,36,90,65,65,40,40,15
Slowpoke,Galar,,79,Psychic,,Gluttony,Own Tempo,Regenerator,Monster,Water 1,36,90,65,65,40,40,15
Slowbro,Kanto,,80,Water,Psychic,Oblivious,Own Tempo,Regenerator,Monster,Water 1,78.5,95,75,110,100,80,30
Slowbro,Galar,,80,Poison,Psychic,Quick Draw,Own Tempo,Regenerator,Monster,Water 1,70.5,95,100,95,100,70,30
Magnemite,Kanto,,81,Electric,Steel,Magnet Pull,Sturdy,Analytic,Mineral,,6,25,35,70,95,55,45
Magneton,Kanto,,82,Electric,Steel,Magnet Pull,Sturdy,Analytic,Mineral,,60,50,60,95,120,70,70
Farfetchd,Kanto,,83,Normal,Flying,Keen Eye,Inner Focus,Defiant,Flying,Field,15,52,90,55,58,62,60
Farfetchd,Galar,,83,Fighting,,Steadfast,,Scrappy,Flying,Field,42,52,95,55,58,62,55
Doduo,Kanto,,84,Normal,Flying,Run Away,Early Bird,Tangled Feet,Flying,,39.2,35,85,45,35,35,75
Dodrio,Kanto,,85,Normal,Flying,Run Away,Early Bird,Tangled Feet,Flying,,85.2,60,110,70,60,60,110
Seel,Kanto,,86,Water,,Thick Fat,Hydration,Ice Body,Water 1,Field,90,65,45,55,45,70,45
Dewgong,Kanto,,87,Water,Ice,Thick Fat,Hydration,Ice Body,Water 1,Field,120,90,70,80,70,95,70
Grimer,Kanto,,88,Poison,,Stench,Sticky Hold,Poison Touch,Amorphous,,30,80,80,50,40,50,25
Grimer,Alola,,88,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,Amorphous,,42,80,80,50,40,50,25
Muk,Kanto,,89,Poison,,Stench,Sticky Hold,Poison Touch,Amorphous,,30,105,105,75,65,100,50
Muk,Alola,,89,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,Amorphous,,52,105,105,75,65,100,50
Shellder,Kanto,,90,Water,,Shell Armor,Skill Link,Overcoat,Water 3,,4,30,65,100,45,25,40
Cloyster,Kanto,,91,Water,Ice,Shell Armor,Skill Link,Overcoat,Water 3,,132.5,50,95,180,85,45,70
Gastly,Kanto,,92,Ghost,Poison,Levitate,,,Amorphous,,0.1,30,35,30,100,35,80
Haunter,Kanto,,93,Ghost,Poison,Levitate,,,Amorphous,,0.1,45,50,45,115,55,95
Gengar,Kanto,,94,Ghost,Poison,Cursed Body,,,Amorphous,,40.5,60,65,60,130,75,110
Onix,Kanto,,95,Rock,Ground,Rock Head,Sturdy,Weak Armor,Mineral,,210,35,45,160,30,45,70
Drowzee,Kanto,,96,Psychic,,Insomnia,Forewarn,Inner Focus,Human-Like,,32.4,60,48,45,43,90,42
Hypno,Kanto,,97,Psychic,,Insomnia,Forewarn,Inner Focus,Human-Like,,75.6,85,73,70,73,115,67
Krabby,Kanto,,98,Water,,Hyper Cutter,Shell Armor,Sheer Force,Water 3,,6.5,30,105,90,25,25,50
Kingler,Kanto,,99,Water,,Hyper Cutter,Shell Armor,Sheer Force,Water 3,,60,55,130,115,50,50,75
Voltorb,Kanto,,100,Electric,,Soundproof,Static,Aftermath,Mineral,,10.4,40,30,50,55,55,100
Voltorb,Hisui,,100,Electric,Grass,Soundproof,Static,Aftermath,Mineral,,13,40,30,50,55,55,100
Electrode,Kanto,,101,Electric,,Soundproof,Static,Aftermath,Mineral,,66.6,60,50,70,80,80,150
Electrode,Hisui,,101,Electric,Grass,Soundproof,Static,Aftermath,Mineral,,71,60,50,70,80,80,150
Exeggcute,Kanto,,102,Grass,Psychic,Chlorophyll,,Harvest,Grass,,2.5,60,40,80,60,45,40
Exeggutor,Kanto,,103,Grass,Psychic,Chlorophyll,,Harvest,Grass,,120,95,95,85,125,75,55
Exeggutor,Alola,,103,Grass,Dragon,Frisk,,Harvest,Grass,,415.6,95,105,85,125,75,45
Cubone,Kanto,,104,Ground,,Rock Head,Lightning Rod,Battle Armor,Monster,,6.5,50,50,95,40,50,35
Marowak,Kanto,,105,Ground,,Rock Head,Lightning Rod,Battle Armor,Monster,,45,60,80,110,50,80,45
Marowak,Alola,,105,Fire,Ghost,Cursed Body,Lightning Rod,Rock Head,Monster,,34,60,80,110,50,80,45
Hitmonlee,Kanto,,106,Fighting,,Limber,Reckless,Unburden,Human-Like,,49.8,50,120,53,35,110,87
Hitmonchan,Kanto,,107,Fighting,,Keen Eye,Iron Fist,Inner Focus,Human-Like,,50.2,50,105,79,35,110,76
Lickitung,Kanto,,108,Normal,,Own Tempo,Oblivious,Cloud Nine,Monster,,65.5,90,55,75,60,75,30
Koffing,Kanto,,109,Poison,,Levitate,Neutralizing Gas,Stench,Amorphous,,1,40,65,95,60,45,35
Weezing,Kanto,,110,Poison,,Levitate,Neutralizing Gas,Stench,Amorphous,,9.5,65,90,120,85,70,60
Weezing,Galar,,110,Poison,Fairy,Levitate,Neutralizing Gas,Misty Surge,Amorphous,,16,65,90,120,85,70,60
Rhyhorn,Kanto,,111,Ground,Rock,Lightning Rod,Rock Head,Reckless,Monster,Field,115,80,85,95,30,30,25
Rhydon,Kanto,,112,Ground,Rock,Lightning Rod,Rock Head,Reckless,Monster,Field,120,105,130,120,45,45,40
Chansey,Kanto,,113,Normal,,Natural Cure,Serene Grace,Healer,Fairy,,34.6,250,5,5,35,105,50
Tangela,Kanto,,114,Grass,,Chlorophyll,Leaf Guard,Regenerator,Grass,,35,65,55,115,100,40,60
Kangaskhan,Kanto,,115,Normal,,Early Bird,Scrappy,Inner Focus,Monster,,80,105,95,80,40,80,90
Horsea,Kanto,,116,Water,,Swift Swim,Sniper,Damp,Water 1,Dragon,8,30,40,70,70,25,60
Seadra,Kanto,,117,Water,,Poison Point,Sniper,Damp,Water 1,Dragon,25,55,65,95,95,45,85
Goldeen,Kanto,,118,Water,,Swift Swim,Water Veil,Lightning Rod,Water 2,,15,45,67,60,35,50,63
Seaking,Kanto,,119,Water,,Swift Swim,Water Veil,Lightning Rod,Water 2,,39,80,92,65,65,80,68
Staryu,Kanto,,120,Water,,Illuminate,Natural Cure,Analytic,Water 3,,34.5,30,45,55,70,55,85
Starmie,Kanto,,121,Water,Psychic,Illuminate,Natural Cure,Analytic,Water 3,,80,60,75,85,100,85,115
Mr. Mime,Kanto,,122,Psychic,Fairy,Soundproof,Filter,Technician,Human-Like,,54.5,40,45,65,100,120,90
Mr. Mime,Galar,,122,Ice,Psychic,Vital Spirit,Screen Cleaner,Ice Body,Human-Like,,56.8,50,65,65,90,90,100
Scyther,Kanto,,123,Bug,Flying,Swarm,Technician,Steadfast,Bug,,56,70,110,80,55,80,105
Jynx,Kanto,,124,Ice,Psychic,Oblivious,Forewarn,Dry Skin,Human-Like,,40.6,65,50,35,115,95,95
Electabuzz,Kanto,,125,Electric,,Static,,Vital Spirit,Human-Like,,30,65,83,57,95,85,105
Magmar,Kanto,,126,Fire,,Flame Body,,Vital Spirit,Human-Like,,44.5,65,95,57,100,85,93
Pinsir,Kanto,,127,Bug,,Hyper Cutter,Mold Breaker,Moxie,Bug,,55,65,125,100,55,70,85
Tauros,Kanto,,128,Normal,,Intimidate,Anger Point,Sheer Force,Field,,88.4,75,100,95,40,70,110
Tauros,Paldea,Combat,128,Fighting,,Intimidate,Anger Point,Cud Chew,Field,,115,75,110,105,30,70,100
Tauros,Paldea,Blaze,128,Fighting,Fire,Intimidate,Anger Point,Cud Chew,Field,,85,75,110,105,30,70,100
Tauros,Paldea,Aqua,128,Fighting,Water,Intimidate,Anger Point,Cud Chew,Field,,110,75,110,105,30,70,100
Magikarp,Kanto,,129,Water,,Swift Swim,,Rattled,Water 2,Dragon,10,20,10,55,15,20,80
Gyarados,Kanto,,130,Water,Flying,Intimidate,,Moxie,Water 2,Dragon,235,95,125,79,60,100,81
Lapras,Kanto,,131,Water,Ice,Water Absorb,Shell Armor,Hydration,Monster,Water 1,220,130,85,80,85,95,60
Ditto,Kanto,,132,Normal,,Limber,,Imposter,Ditto,,4,48,48,48,48,48,48
Eevee,Kanto,,133,Normal,,Run Away,Adaptability,Anticipation,Field,,6.5,55,55,50,45,65,55
Vaporeon,Kanto,,134,Water,,Water Absorb,,Hydration,Field,,29,130,65,60,110,95,65
Jolteon,Kanto,,135,Electric,,Volt Absorb,,Quick Feet,Field,,24.5,65,65,60,110,95,130
Flareon,Kanto,,136,Fire,,Flash Fire,,Guts,Field,,25,65,130,60,95,110,65
Porygon,Kanto,,137,Normal,,Trace,Download,Analytic,Mineral,,36.5,65,60,70,85,75,40
Omanyte,Kanto,,138,Rock,Water,Swift Swim,Shell Armor,Weak Armor,Water 1,Water 3,7.5,35,40,100,90,55,35
Omastar,Kanto,,139,Rock,Water,Swift Swim,Shell Armor,Weak Armor,Water 1,Water 3,35,70,60,125,115,70,55
Kabuto,Kanto,,140,Rock,Water,Swift Swim,Battle Armor,Weak Armor,Water 1,Water 3,11.5,30,80,90,55,45,55
Kabutops,Kanto,,141,Rock,Water,Swift Swim,Battle Armor,Weak Armor,Water 1,Water 3,40.5,60,115,105,65,70,80
Aerodactyl,Kanto,,142,Rock,Flying,Rock Head,Pressure,Unnerve,Flying,,59,80,105,65,60,75,130
Snorlax,Kanto,,143,Normal,,Immunity,Thick Fat,Gluttony,Monster,,460,160,110,65,65,110,30
Articuno,Kanto,,144,Ice,Flying,Pressure,,Snow Cloak,No Eggs Discovered,,55.4,90,85,100,95,125,85
Articuno,Galar,,144,Psychic,Flying,Competitive,,,No Eggs Discovered,,50.9,90,85,85,125,100,95
Zapdos,Kanto,,145,Electric,Flying,Pressure,,Static,No Eggs Discovered,,52.6,90,90,85,125,90,100
Zapdos,Galar,,145,Fighting,Flying,Defiant,,,No Eggs Discovered,,58.2,90,125,90,85,90,100
Moltres,Kanto,,146,Fire,Flying,Pressure,,Flame Body,No Eggs Discovered,,60,90,100,90,125,85,90
Moltres,Galar,,146,Dark,Flying,Berserk,,,No Eggs Discovered,,66,90,85,90,100,125,90
Dratini,Kanto,,147,Dragon,,Shed Skin,,Marvel Scale,Water 1,Dragon,3.3,41,64,45,50,50,50
Dragonair,Kanto,,148,Dragon,,Shed Skin,,Marvel Scale,Water 1,Dragon,16.5,61,84,65,70,70,70
Dragonite,Kanto,,149,Dragon,Flying,Inner Focus,,Multiscale,Water 1,Dragon,210,91,134,95,100,100,80
Mewtwo,Kanto,,150,Psychic,,Pressure,,Unnerve,No Eggs Discovered,,122,106,110,90,154,90,130
Mew,Kanto,,151,Psychic,,Synchronize,,,No Eggs Discovered,,4,100,100,100,100,100,100
Chikorita,Johto,,152,Grass,,Overgrow,,Leaf Guard,Monster,Grass,6.4,45,49,65,49,65,45
Bayleef,Johto,,153,Grass,,Overgrow,,Leaf Guard,Monster,Grass,15.8,60,62,80,63,80,60
Meganium,Johto,,154,Grass,,Overgrow,,Leaf Guard,Monster,Grass,100.5,80,82,100,83,100,80
Cyndaquil,Johto,,155,Fire,,Blaze,,Flash Fire,Field,,7.9,39,52,43,60,50,65
Quilava,Johto,,156,Fire,,Blaze,,Flash Fire,Field,,19,58,64,58,80,65,80
Typhlosion,Johto,,157,Fire,,Blaze,,Flash Fire,Field,,79.5,78,84,78,109,85,100
Typhlosion,Hisui,,157,Fire,Ghost,Blaze,,Frisk,Field,,69.8,73,84,78,119,85,96
Totodile,Johto,,158,Water,,Torrent,,Sheer Force,Monster,Water 1,9.5,50,65,64,44,48,43
Croconaw,Johto,,159,Water,,Torrent,,Sheer Force,Monster,Water 1,25,65,80,80,59,63,58
Feraligatr,Johto,,160,Water,,Torrent,,Sheer Force,Monster,Water 1,88.8,85,105,100,79,83,78
Sentret,Johto,,161,Normal,,Run Away,Keen Eye,Frisk,Field,,6,35,46,34,35,45,20
Furret,Johto,,162,Normal,,Run Away,Keen Eye,Frisk,Field,,32.5,85,76,64,45,55,90
Hoothoot,Johto,,163,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,Flying,,21.2,60,30,30,36,56,50
Noctowl,Johto,,164,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,Flying,,40.8,100,50,50,86,96,70
Ledyba,Johto,,165,Bug,Flying,Swarm,Early Bird,Rattled,Bug,,10.8,40,20,30,40,80,55
Ledian,Johto,,166,Bug,Flying,Swarm,Early Bird,Iron Fist,Bug,,35.6,55,35,50,55,110,85
Spinarak,Johto,,167,Bug,Poison,Swarm,Insomnia,Sniper,Bug,,8.5,40,60,40,40,40,30
Ariados,Johto,,168,Bug,Poison,Swarm,Insomnia,Sniper,Bug,,33.5,70,90,70,60,70,40
Crobat,Johto,,169,Poison,Flying,Inner Focus,,Infiltrator,Flying,,75,85,90,80,70,80,130
Chinchou,Johto,,170,Water,Electric,Volt Absorb,Illuminate,Water Absorb,Water 2,,12,75,38,38,56,56,67
Lanturn,Johto,,171,Water,Electric,Volt Absorb,Illuminate,Water Absorb,Water 2,,22.5,125,58,58,76,76,67
Pichu,Johto,,172,Electric,,Static,,Lightning Rod,No Eggs Discovered,,2,20,40,15,35,35,60
Cleffa,Johto,,173,Fairy,,Cute Charm,Magic Guard,Friend Guard,No Eggs Discovered,,3,50,25,28,45,55,15
Igglybuff,Johto,,174,Normal,Fairy,Cute Charm,Competitive,Friend Guard,No Eggs Discovered,,1,90,30,15,40,20,15
Togepi,Johto,,175,Fairy,,Hustle,Serene Grace,Super Luck,No Eggs Discovered,,1.5,35,20,65,40,65,20
Togetic,Johto,,176,Fairy,Flying,Hustle,Serene Grace,Super Luck,Fairy,Flying,3.2,55,40,85,80,105,40
Natu,Johto,,177,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,Flying,,2,40,50,45,70,45,70
Xatu,Johto,,178,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,Flying,,15,65,75,70,95,70,95
Mareep,Johto,,179,Electric,,Static,,Plus,Monster,Field,7.8,55,40,40,65,45,35
Flaffy,Johto,,180,Electric,,Static,,Plus,Monster,Field,13.3,70,55,55,80,60,45
Ampharos,Johto,,181,Electric,,Static,,Plus,Monster,Field,61.5,90,75,85,115,90,55
Bellossom,Johto,,182,Grass,,Chlorophyll,,Healer,Grass,,5.8,75,80,95,90,100,50
Marill,Johto,,183,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,Water 1,Fairy,8.5,70,20,50,20,50,40
Azumarill,Johto,,184,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,Water 1,Fairy,28.5,100,50,80,60,80,50
Sudowoodo,Johto,,185,Rock,,Sturdy,Rock Head,Rattled,Mineral,,38,70,100,115,30,65,30
Politoed,Johto,,186,Water,,Water Absorb,Damp,Drizzle,Water 1,,33.9,90,75,75,90,100,70
Hoppip,Johto,,187,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,Fairy,Grass,0.5,35,35,40,35,55,20
Skiploom,Johto,,188,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,Fairy,Grass,1,55,45,50,45,65,80
Jumpluff,Johto,,189,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,Fairy,Grass,3,75,55,70,55,95,110
Aipom,Johto,,190,Normal,,Run Away,Pickup,Skill Link,Field,,11.5,55,70,55,40,55,85
Sunkern,Johto,,191,Grass,,Chlorophyll,Solar Power,Early Bird,Grass,,1.8,30,30,30,30,30,30
Sunflora,Johto,,192,Grass,,Chlorophyll,Solar Power,Early Bird,Grass,,8.5,75,75,55,105,85,30
Yanma,Johto,,193,Bug,Flying,Speed Boost,Compound Eyes,Frisk,Bug,,38,65,65,45,75,45,95
Wooper,Johto,,194,Water,Ground,Damp,Water Absorb,Unaware,Water 1,Field,8.5,55,45,45,25,25,15
Wooper,Paldea,,194,Poison,Ground,Poison Point,Water Absorb,Unaware,Water 1,Field,11,55,45,45,25,25,15
Quagsire,Johto,,195,Water,Ground,Damp,Water Absorb,Unaware,Water 1,Field,75,95,85,85,65,65,35
Espeon,Johto,,196,Psychic,,Synchronize,,Magic Bounce,Field,,26.5,65,65,60,130,95,110
Umbreon,Johto,,197,Dark,,Synchronize,,Inner Focus,Field,,27,95,65,110,60,130,65
Murkrow,Johto,,198,Dark,Flying,Insomnia,Super Luck,Prankster,Flying,,2.1,60,85,42,85,42,91
Slowking,Johto,,199,Water,Psychic,Oblivious,Own Tempo,Regenerator,Monster,Water 1,79.5,95,75,80,100,110,30
